Threshold,Accuracy,Sparcity
0, 0.9473684210526315,0
0.01,0.9473684210526315,0.021
0.011,0.9473684210526315,0.031
0.012,0.9473684210526315,0.031
0.013,0.9473684210526315,0.031
0.014,0.9473684210526315,0.031
0.015,0.9473684210526315,0.031
0.016,0.9473684210526315,0.031
0.017,0.9473684210526315,0.031
0.018,0.9473684210526315,0.031
0.019,0.9473684210526315,0.031
0.02,0.9473684210526315,0.031
0.021,0.9473684210526315,0.031
0.022,0.9473684210526315,0.031
0.023,0.9473684210526315,0.031
0.024,0.9473684210526315,0.031
0.025,0.9473684210526315,0.031
0.026,0.9473684210526315,0.031
0.027,0.9473684210526315,0.031
0.028,0.9473684210526315,0.031
0.029,0.9473684210526315,0.042
0.03,0.9473684210526315,0.052
0.031,0.9473684210526315,0.052
0.032,0.9473684210526315,0.052
0.033,0.9473684210526315,0.052
0.034,0.9473684210526315,0.052
0.035,0.9473684210526315,0.052
0.036,0.9415204678362573,0.073
0.037,0.9415204678362573,0.073
0.038,0.9415204678362573,0.073
0.039,0.9415204678362573,0.073
0.04,0.9415204678362573,0.073
0.041,0.9415204678362573,0.073
0.042,0.9415204678362573,0.073
0.043,0.9415204678362573,0.073
0.044,0.9415204678362573,0.073
0.045,0.9415204678362573,0.073
0.046,0.9415204678362573,0.073
0.047,0.9415204678362573,0.073
0.048,0.9415204678362573,0.073
0.049,0.9415204678362573,0.073
0.05,0.9415204678362573,0.073
0.051,0.9415204678362573,0.073
0.052,0.9415204678362573,0.073
0.053,0.9415204678362573,0.083
0.054,0.9415204678362573,0.083
0.055,0.9415204678362573,0.083
0.056,0.9415204678362573,0.083
0.057,0.9415204678362573,0.083
0.058,0.9415204678362573,0.083
0.059,0.9415204678362573,0.083
0.06,0.9415204678362573,0.094
0.061,0.6140350877192983,0.104
