Threshold,Accuracy,Sparsity
0, 0.9824561403508771,0
0.01,0.9707602339181286,0.037
0.011,0.9707602339181286,0.038
0.012,0.9707602339181286,0.041
0.013,0.9707602339181286,0.043
0.014,0.9649122807017544,0.046
0.015,0.9649122807017544,0.05
0.016,0.9649122807017544,0.056
0.017,0.9649122807017544,0.061
0.018,0.9649122807017544,0.065
0.019,0.9649122807017544,0.068
0.02,0.9649122807017544,0.07
0.021,0.9883040935672515,0.072
0.022,0.9883040935672515,0.077
0.023,0.9883040935672515,0.085
0.024,0.9883040935672515,0.088
0.025,0.9707602339181286,0.095
0.026,0.9707602339181286,0.103
0.027,0.8771929824561403,0.106
